A,B,C,D,E,F,G,H,I,J,RESULT
0,1,0,1,7,13000,0,10,1,34,0
1,0,0,0,7,19000,0,1,1,828,0
0,0,0,1,7,0,0,9,1,259,1
0,0,1,1,3,0,0,5,1,43259,0
0,0,0,1,7,10000,0,4,1,47,0
0,0,1,0,7,26000,0,13,1,18,0
0,0,1,0,7,7000,0,7,1,61,0
0,1,1,0,7,0,0,11,1,43259,0
0,0,0,1,6,0,0,1,1,74,0
0,1,1,1,7,0,0,30,1,32,0
0,0,1,1,7,8370,0,7,1,28,0
0,0,1,1,7,0,0,8,1,43259,0
0,0,0,1,7,0,0,2,1,49,0
0,0,0,1,7,0,0,3,1,97,0
0,0,1,0,7,11000,0,1,1,43259,0
0,0,0,1,4,0,0,1,1,217,0
0,0,0,1,7,0,0,2,1,43259,0
0,0,1,0,7,9000,0,1,1,105,1
0,0,1,0,7,0,0,18,1,59,0
0,0,1,0,7,0,0,7,1,25,0
0,1,1,0,6,0,0,7,1,3,0
0,0,0,1,7,0,0,1,1,43259,0
0,0,1,0,7,12000,0,1,1,43259,0
0,0,0,1,7,25000,0,17,1,35,0
0,0,1,0,6,0,0,1,1,509,0
0,1,0,0,7,6500,0,1,1,90,0
0,0,1,0,7,0,0,1,1,43259,0
0,0,0,1,3,0,0,1,0,43259,0
0,0,0,1,7,0,0,3,1,43259,0
0,0,1,0,7,0,0,17,1,43259,0
0,0,0,1,7,5394,0,1,1,20,0
0,1,1,1,7,13000,0,33,1,19,0
0,1,0,1,5,0,0,3,0,43259,0
0,1,0,1,7,0,0,14,1,1438,0
0,0,0,1,7,0,0,11,1,1075,0
0,0,0,1,4,0,0,2,1,43259,0
0,0,0,1,7,25000,0,1,1,154,0
0,0,0,1,6,0,0,1,1,43259,0
0,0,1,0,7,8000,0,12,1,14,0
0,0,1,0,7,0,1,12,1,5,0
0,0,1,0,7,10000,0,76,1,49,0
0,0,1,0,7,9300,0,3,1,10,0
0,0,0,1,1,0,0,3,1,767,0
0,0,0,1,6,0,0,1,1,802,0
1,0,0,0,2,0,0,0,0,43259,0
0,0,1,1,5,0,0,6,1,87,0
0,0,1,0,7,0,0,16,1,3,0
0,0,1,1,3,0,0,2,1,43259,0
0,0,1,1,7,6000,0,7,1,43259,0
0,0,1,0,7,6500,0,3,1,189,0
0,1,0,1,7,0,0,6,1,397,0
0,1,0,1,3,0,0,2,1,43259,0
0,0,1,0,7,0,0,5,1,43259,0
0,0,0,1,7,6000,0,48,1,0,0
0,0,0,1,7,0,0,0,0,43259,0
0,0,0,1,4,0,0,1,1,130,0
0,0,0,1,7,12000,0,2,1,41,0
0,0,0,1,7,0,0,3,1,43259,0
0,1,0,1,7,11000,0,4,1,0,0
0,0,0,1,6,10000,0,1,1,43259,0
0,0,1,0,7,7500,0,3,1,111,0
0,1,1,1,1,0,0,10,1,4,0
0,0,1,1,3,0,0,9,1,43259,0
0,0,1,1,7,0,0,5,1,2825,0
0,0,1,0,3,0,0,3,1,0,0
0,1,1,0,7,0,0,4,1,2111,0
0,0,0,1,6,5500,0,4,1,1228,0
0,0,1,1,6,16000,0,3,1,0,0
0,0,1,0,7,5000,0,11,1,18,0
1,0,1,0,3,0,0,1,1,43259,0
0,0,0,1,7,0,0,3,0,43259,0
0,0,1,1,7,8400,0,22,1,574,0
0,0,1,0,7,12000,0,5,1,31,0
0,0,0,1,4,0,0,2,1,43259,0
0,1,0,1,7,0,0,68,1,28,0
0,0,1,0,7,0,0,23,1,49,0
0,0,0,1,4,0,0,1,1,43259,0
0,0,1,0,7,0,0,2,1,33,0
0,0,1,1,7,10000,0,11,1,3,0
0,0,0,1,7,6300,0,30,1,6,0
0,0,0,1,7,9000,0,7,1,11,0
0,0,0,1,7,0,0,13,1,97,0
1,1,1,1,3,0,0,11,1,3,0
0,0,0,1,7,12500,0,5,1,5,0
0,0,1,0,7,0,0,14,1,10,0
0,0,1,1,7,0,0,11,1,326,0
1,0,1,1,7,0,0,3,1,90,0
0,0,0,1,7,10000,0,1,1,43259,0
0,0,0,1,7,0,0,35,1,24,0
0,0,1,1,7,8000,0,2,1,823,0
0,0,1,1,7,0,0,14,1,45,1
0,0,1,1,3,0,0,15,1,43259,0
0,0,1,1,7,6500,0,9,1,4,0
1,0,1,0,3,0,0,1,0,43259,0
0,0,1,1,7,6500,0,9,1,43259,0
0,1,1,1,7,22000,0,9,1,102,0
1,0,0,1,5,0,0,7,1,43259,0
0,0,1,0,7,0,0,8,1,102,0
0,0,1,0,7,0,0,12,1,43259,0
0,0,0,1,5,0,0,2,1,43259,0
0,0,1,0,2,0,0,3,1,43259,0
0,0,1,1,7,8000,0,55,1,14,0
0,1,1,1,7,8000,0,36,1,43259,0
0,0,1,1,7,20000,0,42,1,24,0
0,0,1,1,7,0,0,8,1,42,1
0,0,1,0,7,18600,0,2,1,43259,0
0,0,0,1,1,0,0,6,1,43259,0
0,0,0,1,7,0,0,1,1,43259,0
0,0,1,0,7,0,0,2,1,293,0
0,1,0,1,7,7440,0,3,1,98,0
0,0,1,0,7,10000,0,5,1,13,0
0,0,0,1,3,0,0,2,0,43259,0
0,0,1,0,7,0,0,16,1,2316,0
0,0,0,1,7,0,0,1,1,1504,0
0,0,0,1,7,0,0,14,1,14,0
0,0,0,1,7,0,0,24,1,24,0
1,0,0,1,7,0,0,3,0,43259,0
0,0,0,1,7,12000,0,3,1,2170,0
0,0,1,0,7,0,0,3,1,284,0
0,0,0,1,3,0,0,2,1,43259,0
0,0,0,1,7,0,0,9,1,43259,0
0,0,1,0,7,12000,0,6,1,6,0
0,0,0,1,4,0,0,1,0,43259,0
0,0,0,1,7,0,1,2,1,43259,0
0,0,1,0,7,25000,0,1,1,43259,0
0,0,0,1,1,6500,0,1,1,43259,0
0,1,0,0,7,20000,0,2,1,43259,0
